feature,importance
check_tier-1_cooling_system_enter_fluid_temp_apc-rc-10_fluid_temp_t-32,0.013378178
check_tier-1_cooling_system_enter_fluid_temp_apc-rc-19_fluid_temp_t-56,0.013340931
check_tier-1_cooling_system_temp_apc-rc-27_unit_air_temp_t-34,0.013157887
check_tier-1_cooling_system_temp_apc-rc-10_unit_air_temp_t-59,0.013063588
check_tier-1_cooling_system_temp_apc-rc-5_unit_air_temp_t-23,0.013056209
check_tier-1_cooling_system_temp_apc-rc-27_unit_air_temp_t-46,0.013037707
check_tier-1_cooling_system_cool_output_apc-rc-13_cool_output_t-58,0.012963324
check_tier-1_cooling_system_temp_apc-rc-24_unit_air_temp_t-44,0.012906215
check_tier-1_cooling_system_enter_fluid_temp_apc-rc-10_fluid_temp_t-51,0.012794656
enter_fluid_temp_t-13,0.012734294
check_tier-1_cooling_system_cool_output_apc-rc-2_cool_output_t-54,0.012705985
check_tier-1_cooling_system_temp_apc-rc-27_return_air_temp_t-43,0.012672025
check_tier-1_cooling_system_temp_apc-rc-13_unit_air_temp_t-60,0.012589413
check_tier-1_cooling_system_temp_apc-rc-5_unit_air_temp_t-59,0.012583601
check_tier-1_cooling_system_enter_fluid_temp_apc-rc-5_fluid_temp_t-37,0.012545097
check_tier-1_cooling_system_temp_apc-rc-2_unit_air_temp_t-31,0.012539553
check_tier-1_cooling_system_temp_apc-rc-19_unit_air_temp_t-3,0.012344016
check_tier-1_cooling_system_cool_output_apc-rc-19_cool_output_t-30,0.012309641
check_tier-1_cooling_system_temp_apc-rc-16_unit_air_temp_t-60,0.012307206
check_tier-1_cooling_system_temp_apc-rc-2_unit_air_temp_t-19,0.012242317
check_tier-1_cooling_system_temp_apc-rc-2_unit_air_temp_t-33,0.012156315
check_tier-1_cooling_system_temp_apc-rc-24_return_air_temp_t-52,0.012127722
check_tier-1_cooling_system_cool_output_apc-rc-16_cool_output_t-32,0.012075597
check_tier-1_cooling_system_cool_output_apc-rc-13_cool_output_t-56,0.012008719
check_tier-1_cooling_system_temp_apc-rc-27_unit_air_temp_t-40,0.011767379
check_tier-1_cooling_system_temp_apc-rc-27_unit_air_temp_t-41,0.011761464
enter_fluid_temp_t-21,0.011752362
check_tier-1_cooling_system_cool_output_apc-rc-19_cool_output_t-60,0.011687989
check_tier-1_cooling_system_enter_fluid_temp_apc-rc-13_fluid_temp_t-29,0.011682434
check_tier-1_cooling_system_temp_apc-rc-16_unit_air_temp_t-26,0.011504241
check_tier-1_cooling_system_temp_apc-rc-27_unit_air_temp_t-53,0.011399768
check_tier-1_cooling_system_cool_output_apc-rc-13_cool_output_t-53,0.0113876
check_tier-1_cooling_system_temp_apc-rc-24_unit_air_temp_t-28,0.011333107
check_tier-1_cooling_system_enter_fluid_temp_apc-rc-19_fluid_temp_t-40,0.011225635
check_tier-1_cooling_system_cool_output_apc-rc-16_cool_output_t-47,0.011175092
check_tier-1_cooling_system_enter_fluid_temp_apc-rc-27_fluid_temp_t-39,0.011120152
check_tier-1_cooling_system_enter_fluid_temp_apc-rc-16_fluid_temp_t-52,0.01109071
check_tier-1_cooling_system_temp_apc-rc-5_unit_air_temp_t-56,0.011085986
check_tier-1_cooling_system_cool_output_apc-rc-16_cool_output_t-33,0.01108351
enter_fluid_temp_t-55,0.011080695
check_tier-1_cooling_system_enter_fluid_temp_apc-rc-10_fluid_temp_t-52,0.011042645
check_tier-1_cooling_system_cool_output_apc-rc-10_cool_output_t-54,0.010961436
